,control1_rna,control2_rna,control3_rna,het1_rna,het2_rna,het3_rna,homo1_rna,homo2_rna,homo3_rna
Knop1,3608,3914,3383,3126,2973,3318,4347,4934,4187
Knstrn,2642,2770,2404,3239,2987,3112,3040,4035,2260
Kntc1,2197,2331,1884,2524,2502,2423,2196,3328,2272
Kpna1,3910,4099,3189,4400,4524,4572,4096,5446,4638
Kpna2,19592,20643,17848,13063,12663,13763,23573,29757,21356
Kpna3,4324,4915,3864,3499,3797,3689,4639,6157,4768
Kpna4,7583,8030,6856,8092,7989,7785,6619,8445,6976
Kpna6,4755,4761,4386,5278,4820,5034,5387,7003,5308
Kpna7,0,0,0,0,0,2,0,0,1
Kpnb1,49224,51182,45807,39114,35674,40701,46341,53003,47425
Kprp,4,3,0,18,16,8,2,0,2
Kptn,400,339,379,329,284,364,270,314,218
Kras,3779,4087,3517,4978,5136,4894,4158,5325,4318
Krba1,202,251,193,548,476,372,164,231,88
Krcc1,870,960,887,1674,1724,1843,1268,1599,1559
Kremen1,1209,1203,1056,2195,1922,1874,1236,1551,1095
Kremen2,11,7,5,7,6,6,7,12,11
Kri1,1309,1333,1126,1129,895,1116,1511,1893,1407
Krit1,1156,1289,985,1323,1402,1171,1441,2371,1488
Krr1,3696,3832,3091,2030,1976,2151,3286,4741,3442
Krt1,0,0,0,0,0,0,0,0,0
Krt10,119,138,137,131,130,138,114,163,131
Krt12,11,3,4,2,0,2,0,0,0
Krt13,9,12,11,14,9,12,27,43,60
Krt14,3,3,6,5,3,4,19,20,26
Krt15,3,7,1,7,3,3,1,2,3
Krt16,1,0,2,2,2,2,76,82,101
Krt17,0,0,0,2,0,1,4,2,5
Krt18,6,3,3,0,0,2,44,33,31
Krt19,382,419,417,482,449,311,166,175,151
Krt2,0,0,0,0,0,0,0,0,0
Krt20,85,101,64,7,4,5,3,5,2
Krt222,3,5,2,4,1,6,3,4,2
Krt23,1,1,0,7,9,3,0,0,0
Krt24,0,0,0,0,0,0,0,0,0
Krt25,0,0,1,0,0,0,0,0,0
Krt26,0,0,0,0,0,0,0,0,0
Krt27,0,0,0,0,0,0,0,0,0
Krt28,1,0,1,2,1,3,3,1,2
Krt31,0,0,0,0,0,0,0,0,0
Krt32,0,0,0,0,0,0,0,0,0
Krt33a,0,0,0,0,1,0,0,0,0
Krt33b,0,0,0,0,0,0,0,0,0
Krt34,0,0,0,0,0,0,0,0,0
Krt35,0,0,0,0,0,0,0,0,0
Krt36,0,0,1,0,0,0,1,0,2
Krt39,0,0,0,0,0,0,0,0,0
Krt4,88,100,79,87,59,79,73,90,77
Krt40,0,0,0,0,0,0,0,0,0
Krt42,1,0,1,1,1,1,2,1,0
Krt5,289,278,284,261,227,285,207,278,234
Krt6a,0,1,0,0,0,0,1,0,2
Krt6b,1,0,0,0,0,0,0,0,0
Krt7,26,28,26,25,17,20,113,90,98
Krt71,0,0,0,0,0,0,0,0,0
Krt72,21,28,20,25,22,22,20,26,23
Krt73,86,96,98,76,73,76,67,90,80
Krt74,0,0,0,0,0,0,0,0,0
Krt75,410,410,399,372,320,395,305,422,319
Krt76,53,67,65,41,72,56,54,62,145
Krt77,0,0,0,0,0,0,0,0,0
Krt78,0,0,0,1,0,0,1,0,1
Krt79,0,1,0,7,3,12,1,2,4
Krt8,81,69,69,9,7,9,12,12,14
Krt80,874,936,820,277,236,418,1475,1718,1413
Krt81,0,0,1,0,0,0,0,0,0
Krt82,0,0,0,0,0,0,0,0,0
Krt83,0,0,0,0,0,0,0,1,0
Krt84,1,1,0,0,0,0,6,7,9
Krt85,0,0,0,0,0,0,0,0,0
Krt86,0,0,1,0,0,0,0,0,0
Krt87,1,0,0,0,0,1,0,1,0
Krt88,0,0,0,0,0,0,1,0,0
Krt9,0,0,0,1,0,0,0,0,0
Krt90,2,1,2,2,1,1,5,7,6
Krtap1-3,0,1,2,4,3,5,0,0,0
Krtap1-4,0,1,1,2,0,3,0,0,0
Krtap1-5,60,58,45,109,121,153,6,10,11
Krtap10-10,0,0,0,0,0,0,0,0,0
Krtap10-4,0,0,0,0,0,0,0,0,0
Krtap11-1,0,0,0,0,0,0,0,0,0
Krtap12-1,0,0,0,0,0,0,0,0,0
Krtap13,0,0,0,0,0,0,0,0,0
Krtap13-1,0,0,0,0,0,0,0,0,0
Krtap14,0,0,0,0,0,0,0,0,0
Krtap15,0,0,0,0,0,0,0,0,0
Krtap16-1,0,0,0,0,0,0,0,0,0
Krtap16-3,0,0,0,0,0,0,0,0,0
Krtap17-1,0,0,0,0,0,0,0,0,0
Krtap19-1,0,0,0,0,0,0,0,0,0
Krtap19-2,0,0,0,0,0,0,0,0,0
Krtap19-3,0,0,0,0,0,0,0,0,0
Krtap19-4,0,0,0,0,0,0,0,0,0
Krtap19-5,0,0,0,0,0,0,0,0,0
Krtap19-9b,0,0,0,0,0,0,0,0,0
Krtap2-4,0,0,0,0,0,0,0,0,0
Krtap20-2,0,0,0,0,0,0,0,0,0
Krtap21-1,0,0,0,0,0,0,0,0,0
Krtap22-2,0,0,0,0,0,0,0,0,0
Krtap24-1,0,0,0,0,0,0,0,0,0
Krtap26-1,0,0,0,0,0,0,0,0,0
Krtap27-1,0,0,0,0,0,0,0,0,0
Krtap28-13,2,2,1,0,3,2,2,1,0
Krtap3-1,0,0,0,0,0,0,0,0,0
Krtap3-2,0,1,0,8,4,0,0,0,0
Krtap3-3,0,0,0,4,1,0,0,0,0
Krtap31-1,0,0,0,0,0,0,0,0,0
Krtap31-2,0,0,0,0,0,0,0,0,0
Krtap4-1,0,0,0,0,0,0,0,0,0
Krtap4-13,0,0,0,0,0,0,0,0,0
Krtap4-16,0,0,1,1,1,0,0,0,0
Krtap4-2,0,0,0,0,0,0,0,0,0
Krtap4-6,0,0,0,0,0,0,0,0,0
Krtap4-7,0,0,0,0,0,0,0,0,0
Krtap4-8,0,0,0,0,0,0,0,0,0
Krtap4-9,0,0,0,0,0,0,0,0,0
Krtap5-1,0,0,0,0,0,0,0,0,0
Krtap5-2,0,0,0,0,0,0,0,0,0
Krtap5-3,0,0,0,0,0,0,0,0,0
Krtap5-4,0,0,0,0,0,0,0,0,0
